,C,pedido,cluster,validation
451,T452,prezada o é público _e_ notório que a _br_ 465 conhecida como a antiga estrada rio são_paulo ou rodovia luiz henrique rezende novaes vem passando por grandes obras de melhorias _e_ recapeamento asfáltico fato que muito beneficiará a região entretanto gostaríamos de obter _informações_ acerca da possibilidade da extensão dos serviços de melhorias _e_ recapeamento asfáltico à avenida nossa senhora das graças situada de _forma_ perpendicular à _br_ 465 no km 32 pq são francisco a referida avenida é uma das principais via de _acesso_ à _br_ 465 com ciep escolas_públicas _e_ particulares posto de saúde _instituições_ religiosas de várias denominações _e_ que atende a uma vasta _e_ ampla comunidade fato que pode ser corroborado por simples _consulta_ aos sites de monitoramento territorial por satélite a extensão dos serviços à av n s das graças iria beneficiar centenas ou milhares de pessoas que hoje _se_ encontram desprovidas destituídos despojados de uma pavimentação hígida devido ao _tempo_ _e_ ao desgaste nesse diapasão requeremos _informação_ acerca da possibilidade da extensão de melhorias _e_ recapeamento asfáltico _e_ mais _caso_ seja viável quais o procedimentos que devemos adotar há necessidade de requerimento via pessoa_jurídica qual o prazo para esse requerimento qual o setor que deveremos endereçar o requerimento existe a possibilidade de endereçamento eletrônico sem mais desejado que o _presente_ requerimento seja exitoso desde já agradecemos à _atenção_ _e_ a cordialidade dos esclarecimentos,Temer_05,Q2: Private-Political
452,T453,prezada o é público _e_ notório que a _br_ 465 conhecida como a antiga estrada rio são_paulo ou rodovia luiz henrique rezende novaes vem passando por grandes obras de melhorias _e_ recapeamento asfáltico fato que muito beneficiará a região entretanto gostaríamos de obter _informações_ acerca da possibilidade da extensão dos serviços de melhorias _e_ recapeamento asfáltico à avenida nossa senhora das graças situada de _forma_ perpendicular à _br_ 465 no km 32 pq são francisco a referida avenida é uma das principais via de _acesso_ à _br_ 465 com ciep escolas_públicas _e_ particulares posto de saúde _instituições_ religiosas de várias denominações _e_ que atende a uma vasta _e_ ampla comunidade fato que pode ser corroborado por simples _consulta_ aos sites de monitoramento territorial por satélite a extensão dos serviços à av n s das graças iria beneficiar centenas ou milhares de pessoas que hoje _se_ encontram desprovidas destituídos despojados de uma pavimentação hígida devido ao _tempo_ _e_ ao desgaste nesse diapasão requeremos _informação_ acerca da possibilidade da extensão de melhorias _e_ recapeamento asfáltico _e_ mais _caso_ seja viável quais o procedimentos que devemos adotar há necessidade de requerimento via pessoa_jurídica qual o prazo para esse requerimento qual o setor que deveremos endereçar o requerimento existe a possibilidade de endereçamento eletrônico sem mais desejado que o _presente_ requerimento seja exitoso desde já agradecemos à _atenção_ _e_ a cordialidade dos esclarecimentos,Temer_05,Q2: Private-Political
453,T454,prezada o é público _e_ notório que a _br_ 465 conhecida como a antiga estrada rio são_paulo ou rodovia luiz henrique rezende novaes vem passando por grandes obras de melhorias _e_ recapeamento asfáltico fato que muito beneficiará a região entretanto gostaríamos de obter _informações_ acerca da possibilidade da extensão dos serviços de melhorias _e_ recapeamento asfáltico à avenida nossa senhora das graças situada de _forma_ perpendicular à _br_ 465 no km 32 pq são francisco a referida avenida é uma das principais via de _acesso_ à _br_ 465 com ciep escolas_públicas _e_ particulares posto de saúde _instituições_ religiosas de várias denominações _e_ que atende a uma vasta _e_ ampla comunidade fato que pode ser corroborado por simples _consulta_ aos sites de monitoramento territorial por satélite a extensão dos serviços à av n s das graças iria beneficiar centenas ou milhares de pessoas que hoje _se_ encontram desprovidas destituídos despojados de uma pavimentação hígida devido ao _tempo_ _e_ ao desgaste nesse diapasão requeremos _informação_ acerca da possibilidade da extensão de melhorias _e_ recapeamento asfáltico _e_ mais _caso_ seja viável quais o procedimentos que devemos adotar há necessidade de requerimento via pessoa_jurídica qual o prazo para esse requerimento qual o setor que deveremos endereçar o requerimento existe a possibilidade de endereçamento eletrônico sem mais desejado que o _presente_ requerimento seja exitoso desde já agradecemos à _atenção_ _e_ a cordialidade dos esclarecimentos,Temer_05,Q2: Private-Political
454,T455,prezada o é público _e_ notório que a _br_ 465 conhecida como a antiga estrada rio são_paulo ou rodovia luiz henrique rezende novaes vem passando por grandes obras de melhorias _e_ recapeamento asfáltico fato que muito beneficiará a região entretanto gostaríamos de obter _informações_ acerca da possibilidade da extensão dos serviços de melhorias _e_ recapeamento asfáltico à avenida nossa senhora das graças situada de _forma_ perpendicular à _br_ 465 no km 32 pq são francisco a referida avenida é uma das principais via de _acesso_ à _br_ 465 com ciep escolas_públicas _e_ particulares posto de saúde _instituições_ religiosas de várias denominações _e_ que atende a uma vasta _e_ ampla comunidade fato que pode ser corroborado por simples _consulta_ aos sites de monitoramento territorial por satélite a extensão dos serviços à av n s das graças iria beneficiar centenas ou milhares de pessoas que hoje _se_ encontram desprovidas destituídos despojados de uma pavimentação hígida devido ao _tempo_ _e_ ao desgaste nesse diapasão requeremos _informação_ acerca da possibilidade da extensão de melhorias _e_ recapeamento asfáltico _e_ mais _caso_ seja viável quais o procedimentos que devemos adotar há necessidade de requerimento via pessoa_jurídica qual o prazo para esse requerimento qual o setor que deveremos endereçar o requerimento existe a possibilidade de endereçamento eletrônico sem mais desejado que o _presente_ requerimento seja exitoso desde já agradecemos à _atenção_ _e_ a cordialidade dos esclarecimentos,Temer_05,Q2: Private-Political
455,T456,meu nome é ricardo marques dutra sou pesquisador do centro de pesquisas de energia_elétrica cepel _e_ no _momento_ sou gerente do projeto de elaboração do novo atlas do potencial _e_ólico brasileiro um dos trabalhos desenvolvidos no âmbito deste projeto são os cálculos referentes à estimativa do potencial _e_ólico em todo o território brasileiro além de conhecer a velocidade do vento através de mé_dias_ anuais a estimativa do potencial _e_ólico também requer que sejam identificadas áreas de exclusão que representam regiões impossibilitadas de serem aproveitadas para instalação de parques _e_ólicos tais como reservas ambientais florestas rios etc uma _vez_ que aeroportos internacionais domésticos _e_ privados também são áreas restritas impossibilitando a instalação de parques _e_ólicos nos deparamos com a _questão_ sobre qual a distância dos aeroportos é considerada área exclusiva ou seja qual é distância dos aeroportos que _se_ deve considerar como fronteira para instalação de parques _e_ólicos para geração _e_ólica de energia_elétrica _não_ sei _se_ a altura dos aerogeradores influencia nas restrições mas estamos considerando máquinas de 100m de altura com pás de 50m altura total de até 150m consultamos a portaria n 1141 gm5 de 08 12 1987 _e_ a portaria n 256 gc5 de 13 05 2011 que apesar de citar algumas regras para sinalização de aerogeradores próximos a aeroportos _não_ menciona a _questão_ de distanciamento mínimo entre empreendimentos desta natureza _e_ aeroportos de uma _forma_ geral sendo assim gostaríamos de contar com o apoio desta _instituição_ no _sentido_ de nos fornecer referências que tratam da delimitação de áreas exclusivas no entorno de aeroportos que estabeleçam limites para a construção de parques _e_ólicos de grande porte necessitamos das _informações_ para referenciarmos o trabalho que estamos desenvolvendo _e_ assim apresentar resultados mais precisos quanto ao potencial _e_ólico brasileiro,Temer_05,Q2: Private-Political
456,T457,me chamo tiago augusto da cunha _http_ lattes cnpq _br_ 3047651007651966 tiagoac ufv _br_ sou atualmente professor do curso de arquitetura _e_ urbanismo do departamento de arquitetura _e_ urbanismo dau da universidade federal de viçosa ufv pretendo investigar juntamente com outros colegas de departamento mas também de outras _instituições_ do _brasil_ os reflexos do programa minha casa minha vida programa minha casa minha vida nos indicadores de infraestrutura _e_ qualidade urbana dos municípios da região sudeste de nosso país outro objetivo do plano de _pesquisa_ já elaborado por esse grupo de investigadores é futuramente elucidar as reverberações da política habitacional nacional no abrandamento tanto de desigualdades regionais quanto sociais ao garantir moradia _e_ os recursos que ela representa bem como oportunidades infraestruturais antes intangíveis a estratos substanciais da população brasileira dessa _forma_ gostaria de solicitar o _acesso_ ou a disponibilização dos _dados_ do programa empreendimentos unidades contratadas segundo municípios para cada um dos estados da região citada são_paulo sp rio de _janeiro_ rj minas_gerais mg _e_ espírito_santo es _se_ possível que esses _dados_ sejam desagregados de acordo com a situação do domicílio rural _e_ urbano _e_ ainda segundo faixas de renda do programa minha casa minha vida faixa 1 2 _e_ 3 por fim que os empreendimentos faixa 1 sejam discriminados segundo seus executores entidades empresas _e_ ou oferta pública segue uma sugestão de tabela em anexo certo de contar com sua valiosa ajuda compreensão _e_ contribuição desde já agradeço,Temer_05,Q2: Private-Political
457,T458,bom _dia_ sou morador de mangaratiba _e_ solicito que o iphan informe com o máximo de urgência qual o nome cnpj _e_ endereço da empresa que executou obras na cachoeira dos escravos que é um trecho tombado na rodovia rj 149 a estrada de são joão marcos que liga mangaratiba a rio claro o motivo de minha _solicitação_ é que surgiu um buraco na pista no _sentido_ de quem desce a serra rumo ao litoral sendo que a obra de acordo com morador da região teria sido entregue em 2014 por tal empresa ressalto que a urgência dessa _informação_ _se_ justifica pelo fato de que com as chuvas pode o buraco aumentar _e_ a localidade da serra do piloto distrito de mangaratiba ficar isolada logo maus do que nunca quero contribuir para avisar as autoridades sobre o problema inclusive levar o _caso_ ao ministério público portanto peço que entrem em _contato_ o quanto antes para que eu fique ciente sobre o nome da empresa bem como o seu cnpj _e_ endereço de sede _caso_ tenha sido o iphan quem a contratou que também seja fornecido o respectivo aguardo uma _resposta_,Temer_05,Q2: Private-Political
458,T459,à funai fundação nacional do índio cgid coordenação geral de identificação _e_ delimitação prezado responsável o instituto socioambiental isa está conduzindo atualmente uma _pesquisa_ sobre os custos necessários para a criação consolidação _e_ manutenção das terras indígenas da bacia do xingu o objetivo deste trabalho é realizar uma estimativa dos valores reais gastos _e_ com base nestes valores realizar uma projeção dos investimentos médios necessários por ti as _informações_ obtidas nos permitirão estimar a ordem de grandeza dos recursos necessários ao bem estar no longo prazo das populações indígenas entender quais as etapas _e_ atividades mais carentes de financiamento justificar as demandas financeiras de projetos a potenciais doadores auxiliar o planejamento _e_ gestão financeira para as terras indígenas entre outros além da funai as _informações_ sobre as despesas relacionadas às terras indígenas do xingu estão sendo coletadas junto a outros órgãos governamentais _e_ _não_ governamentais que atuam na região em 31 05 2016 foi solicitado à dpt cgid por _meio_ do protocolo de _número_ 08850 001684 2016 33 _informações_ sobre as despesas relacionadas ao processo de criação de cada uma das terras indígenas da bacia do xingu as _informações_ _não_ nos foram encaminhadas sob a justificativa de que tais _informações_ passadas _não_ _se_ encontram sistematizadas na funai compreendendo a justificativa venho desta _forma_ solicitar à cgid no _presente_ pedido qual is o s valor es de referência utilizado s pela funai para calcular o custo de identificação _e_ delimitação das terras indígenas incluindo contratação de técnicos diárias custos de viagem _e_ reuniões entre outros desta _forma_ poderemos trabalhar com este valor de referência ao invés dos valores reais gastos no passado com os estudos de identificação _e_ delimitação destas tis coloco me à disposição para o esclarecimento de quaisquer dúvidas por _meio_ do _e_ _mail_ ribeiro mbn gmail com atenciosamente,Temer_05,Q2: Private-Political
459,T460,meu nome é karine martins sou estudante do 8 semestre de economia na faculdade _cidade_ verde fcv que fica na _cidade_ de maringá pr como é meu ultimo semestre estou fazendo meu trabalho de graduação final _e_ o tema que escolhi exportações _e_ pib per capita uma abordagem espacial utilizando a metodologia gwr neste trabalho irei analisar o mercado comercial externo dos seguintes estados paraná santa_catarina rio_grande_do_sul minas_gerais espirito santo rio de _janeiro_ _e_ são_paulo estou encontrando algumas dificuldade sobre uma variável especifica que preciso para o meu _artigo_ que é a variável consumo de energia_elétrica por municípios nos bancos de _dados_ encontro apenas por região sul sudeste _e_ por _estado_ mas _não_ encontro por munício gostaria de saber _se_ vocês tem essa _informação_ _e_ _se_ poderiam me ajudar qualquer duvida ou mais _informações_ fico á disposição atenciosamente,Temer_05,Q2: Private-Political
460,T461,a comissão pró índio de são_paulo entidade de direito_privado inscrita no cadastro nacional de pessoa_jurídica sob o n 51 751 048 0001 72 com sede em são_paulo sp na _rua_ padre carvalho n 175 cep 05427 100 com representação legal da coordenadora executiva sra lúcia m m de andrade vem perante v s requerer ao dnpm com fundamento na constituição_federal no seu _artigo_ 5 inciso xiv inciso xxxii no caput do _artigo_ 37 _e_ na _lei_ n 12 572 de 2011 as seguintes _informações_ referentes à mineração rio do norte localizada no _município_ de oriximiná _estado_ do pará sobre a vistoria realizada pelo dnpm à mineração rio do norte em 3 12 2015 indagamos a qual a duração da vistoria quantos _dias_ b quantos profissionais do dnpm procederam a vistoria c _se_ os planos de segurança _e_ paebm da mrn foram considerados adequados pelo dnpm tendo em vista o disposto na portaria dnpm n 526 2013 agradecendo desde já a colaboração despeço me respeitosamente lúcia m m de andrade email lucia cpisp _org_ _br_ telefone 11 3814 7228,Temer_05,Q2: Private-Political
461,T462,a comissão pró índio de são_paulo entidade de direito_privado inscrita no cadastro nacional de pessoa_jurídica sob o n 51 751 048 0001 72 com sede em são_paulo sp na _rua_ padre carvalho n 175 cep 05427 100 com representação legal da coordenadora executiva sra lúcia m m de andrade vem perante v s requerer ao ministério_do_planejamento orçamento _e_ gestão com fundamento na constituição_federal no seu _artigo_ 5 inciso xiv é assegurado a todos o _acesso_ à _informação_ _e_ resguardado o sigilo da fonte quando necessário ao exercício profissional inciso _xxxiii_ todos têm direito a receber dos órgãos_públicos _informações_ de seu interesse particular ou de interesse coletivo ou geral no caput do _artigo_ 37 _e_ na _lei_ n 12 572 de 2011 _acesso_ às _informações_ sobre contratos de concessão de direito real de _uso_ concedidos pelo incra este pedido de _informação_ já foi enviado no _dia_ 14 06 2016 _e_ _não_ foi respondido dentro do prazo legal 04 07 2016 dessa _forma_ reenvio o pedido segue o pedido _não_ respondido em anexo o que _se_ deseja saber é 1 quais são as terras a que foram concedidos pelo incra contratos de concessão de direito real de _uso_ quantas ccdru foram concedidas em cada um dos _casos_ a quantos hectares _se_ referem cada uma das ccdru quando elas foram concedidas 2 quantas propriedades faltam desapropriar em cada um dos _casos_ a que terras _se_ referem _e_ quantos hectares cada uma das propriedades tem 3 quais terras que possuem a ccdru já podem ser tituladas 4 qual a previsão do incra para a entrega dos títulos de propriedade às comunidades que receberam as ccdru 5 poderiam ser enviadas as _cópias_ de cada uma das ccdru 6 há previsão de entrega de novas ccdru este _ano_ respeitosamente otavio penteado assessor de programas,Temer_05,Q2: Private-Political
462,T463,ao instituto nacional de colonização _e_ reforma agrária incra ministério do desenvolvimento agrário mda prezado responsável o instituto socioambiental isa está conduzindo atualmente uma _pesquisa_ sobre os custos necessários para a criação consolidação _e_ manutenção das terras indígenas da bacia do xingu o objetivo deste trabalho é realizar uma estimativa dos valores gastos em cada uma destas etapas _e_ com base nestes valores realizar uma projeção dos investimentos médios necessários por ti dependendo de suas características específicas as _informações_ obtidas nos permitirão estimar a ordem de grandeza dos recursos necessários ao bem estar no longo prazo das populações indígenas _e_ à proteção _e_ manutenção da biodiversidade _e_ dos serviços ambientais de seus territórios entender quais as etapas _e_ atividades mais carentes de financiamento justificar as demandas financeiras de projetos a potenciais doadores auxiliar o planejamento _e_ gestão financeira para as terras indígenas entre outros no _dia_ 08 06 2016 foi solicitado ao incra pedido no 54800 000424 2016 53 o custo total relacionado ao reassentamento de moradores residentes no interior de cada uma das terras indígenas da bacia do xingu porém _não_ obtivemos _resposta_ entendemos que estas são _informações_ difíceis de serem resgatadas _e_ sistematizadas desta _forma_ no _presente_ pedido solicitamos os valores de referência em r utilizados pelo incra para calcular os custos do reassentamento de moradores _não_ indígenas de terras indígenas na região amazônica desta _forma_ poderemos estimar o custo de reassentamento a partir dos valores de referência _e_ _não_ dos valores gastos no passado esperamos que desta _forma_ a _informação_ solicitada nos seja fornecida atenciosamente,Temer_05,Q2: Private-Political
463,T464,o instituto centro de vida icv inscrito no cnpj n 26 812 784 0001 46 situado à _rua_ américo salgado 1890 bairro santa helena na _cidade_ de cuiabá mt cep 78 045 055 cuja missão é construir soluções compartilhadas para a sustentabilidade do _uso_ da terra _e_ dos recursos naturais vem perante vossa senhoria com espeque no _artigo_ 5 _xxxiii_ da constituição_federal de 1998 _artigo_ 10 _e_ 11 da _lei_ n 12 527 de 18 de _novembro_ de 2011 _e_ artigos 11 _e_ 12 do decreto n 7 724 de 16 de _maio_ de 2012 requerer a disponibilização das _informações_ de interesse_público referente 1 cadastro ambiental rural imóveis privados _e_ posses de assentamentos rurais de reforma agrária _e_ de populações tradicionais _e_ status da validação contendo cpf cnpj do proprietário ou posseiro área do imóvel nome da fazenda ou imóvel _município_ _número_ de cadastro no sicar _data_ do protocolo coordenada do centro da propriedade ou posse reserva legal área de _uso_ consolidado _e_ área de preservação permanente total em formato _shapefile_ 2 recursos investidos no car contendo _data_ valor orçado valor executado _e_ destino do recurso 3 _informações_ sobre contratos firmados com a universidade de lavras contendo prazos valores _e_ produtos sem mais sob a expectativa de _resposta_ _favor_ável no prazo estabelecido do _artigo_ 11 1 da _lei_ n12 527 2011 colocamo nos à vossa disposição para eventuais esclarecimentos por _meio_ dos contados telefônico 65 3621 3148 _e_ eletrônico ana valdiones icv _org_ _br_ atenciosamente,Temer_05,Q2: Private-Political
464,T465,olá solicito _informações_ de como proceder para solicitar a construção de um _acesso_ para veículos no bairro do rio do peixe no _município_ de cambuí mg existe um _acesso_ provisorio porém a comunidade demanda a construção de uma _acesso_ definitivo para atender a população o distrito industrial _e_ também para escoamento da produção de morango local sendo esta uma das maiores da região o _acesso_ será construido na rodovia fernão _dias_ _br_ 381 controlado pela auto pista fernão _dias_ desde já obrigado,Temer_05,Q2: Private-Political
465,T466,prezado solicitante este canal de comunicação tem o objetivo de orientá lo quanto a dúvidas relacionadas ao sistema de _acesso_ à _informação_ _e_ ao registro de pedidos de _acesso_ à _informação_ para que a sua _solicitação_ seja atendida em consonância à _lei_ n 12 527 2011 acesse o portal _www_ acessoainformacao _gov_ _br_ cadastre _se_ _e_ registre um novo pedido de _informação_ direcionado ao órgão competente para o atendimento de sua _solicitação_ no _caso_ temos o instituto brasileiro do _meio_ ambiente _e_ dos recursos naturais renováveis ibama _e_ o instituto chico mendes de conservação da biodiversidade icmbio assim você estará protegido pelos termos da _lei_ de _acesso_ à _informação_ _e_ será atendido adequadamente atenciosamente serviço de _informações_ ao cidadão sic mma centro de _informação_ _e_ documentação ambiental cid ambiental coordenação geral de gestão administrativa spoa secex mma ministério do _meio_ ambiente sepn 505 norte bloco b edifício marie prendi cruz térreo brasília df cep 70730 542 _e_ _mail_ sic mma _gov_ _br_ telefone 61 2028 2228 em 10 06 2016 09 11 28 joão ferreira escreveu bom _dia_ prezados estou com um projeto de reflorestamento de árvores nativas do bioma caatinga na região de irecê bahia _e_ gostaria de saber qual órgão contatar para requisição de doação de mudas para o plantio moro em minas_gerais _e_ sei que a competência aqu para doação de mudas é do ief todavia na bahia na sei _favor_ informar _e_ ou repassar para o referido órgão obrigado _e_ bom _dia_ atenciosamente joão ferreira,Temer_05,Q2: Private-Political
466,T467,gostaria da lista de _instituições_ nome _e_ _se_ possível endereço contempladas com recursos do programa mais educação no segmento horta escolar _e_ qualidade de vida _e_ localizadas nos municípios da região metropolitana de são_paulo arujá barueri biritiba mirim caieiras cajamar carapicuíba cotia diadema embu das artes embu guaçu ferraz de vasconcelos francisco morato franco da _rocha_ guararema guarulhos itapevi itapecerica da serra itaquaquecetuba jandira juquitiba mairiporã mauá mogi das cruzes osasco pirapora do bom jesus poá ribeirão pires rio grande da serra salesópolis santa isabel santana de parnaíba santo andré são bernardo do campo são caetano do sul são lourenço da serra são_paulo suzano taboão da serra _e_ vargem grande paulista,Temer_05,Q1: Public-Political
467,T468,a comissão pró índio de são_paulo entidade de direito_privado inscrita no cadastro nacional de pessoa_jurídica sob o n 51 751 048 0001 72 com sede em são_paulo sp na _rua_ padre carvalho n 175 cep 05427 100 com representação legal da coordenadora executiva sra lúcia m m de andrade vem perante o incra requerer _acesso_ às _informações_ sobre os processos de titulação de terras quilombolas 1 quais são os processos de titulação que contam com decretos de desapropriação publicados em que já é possível serem ajuizadas ações judiciais de desapropriação ou a realização de acordos com proprietários particulares para a efetivação da desapropriação 2 quantas são _e_ a que terras _se_ referem essas propriedades particulares quantos hectares estas propriedades têm _e_ qual o valor de cada uma delas 3 em quais _casos_ já houve acordo com o proprietário particular para a realização da desapropriação em quais _casos_ será necessário o ajuizamento da ação de desapropriação 4 em quais _casos_ já houve acordo com o proprietário particular mas _não_ há recurso para a realização da desapropriação em quais _casos_ _não_ há recurso para o ajuizamento da ação de desapropriação em quais _casos_ falta recurso para que os procedimentos de desapropriação tenham continuidade 5 qual seria o recurso necessário para efetivar a desapropriação de todas essas propriedades particulares 6 qual a previsão do incra para a realização de todas essas desapropriações 7 como foi definido pelo incra quais seriam as propriedades particulares sobrepostas a terras quilombolas que teriam a desapropriação encaminhada este _ano_ como tem sido a definição das terras que terão prioridade ante ao orçamento disponível,Temer_05,Q2: Private-Political
468,T469,_srs_ ministro _e_ secretário a secretaria de avaliação _e_ gestão de _informação_ do ministério de desenvolvimento_social _e_ agrário executou o projeto avaliar a implementação os resultados _e_ os impactos das políticas programas ações projetos benefícios _e_ serviços sob responsabilidade do mds ou que constituam o plano para superação da extrema pobreza projeto n 914brz3002 da unesco no âmbito deste projeto foram encomendadas _e_ realizadas duas pesquisas das quais _se_ requer os seguintes _documentos_ conforme detalhamento contido no _documento_ anexo 1 _pesquisa_ de avaliação da situação de segurança alimentar _e_ nutricional em comunidades quilombolas tituladas _documentos_ requeridos _i_ _documentos_ contendo o resultado_final da _pesquisa_ notadamente o relatório completo da fec uff _ii_ o relatório síntese da sagi mds _e_ _iii_ os relatórios finais das quatro consultoras _e_ os respectivos artigos científicos em _caso_ da _pesquisa_ _e_ ou os artigos científicos ainda _não_ terem sido finalizados requer sejam remetidos ao menos os resultados _e_ _documentos_ existentes no _momento_ 2 avaliação dos efeitos das transferências monetárias do programa bolsa_família sobre povos indígenas residentes em terras indígenas alto rio negro am porquinhos ma barra velha ba jaraguá sp takuaraty yvykuarusu ms dourados ms parabubure mt _documentos_ requeridos _i_ os relatórios finais dos sete consultores _ii_ a versão final do resultado completo da avaliação _e_ _iii_ o relatório síntese da sagi mds em _caso_ da avaliação ainda _não_ ter sido finalizada requer sejam remetidos ao menos os resultados _e_ _documentos_ existentes no _momento_ as _informações_ do pedido estão detalhadas no ofício n 006 2017 isa jurídico em anexo no aguardo de uma pronta _resposta_ agradecemos a _atenção_ dispensada _e_ despedimo nos cordialmente,Temer_05,Q2: Private-Political
469,T470,à dpds diretoria de promoção ao desenvolvimento sustentável fundação nacional do índio funai prezado responsável o instituto socioambiental isa está conduzindo atualmente uma _pesquisa_ sobre os custos necessários para a criação consolidação _e_ manutenção das terras indígenas da bacia do xingu o objetivo deste trabalho é realizar uma estimativa dos valores reais gastos em cada uma destas etapas _e_ com base nestes valores realizar uma projeção dos investimentos médios necessários por ti dependendo de suas características específicas desta _forma_ venho solicitar à dpds funai _informações_ sobre as despesas com iniciativas relacionadas à educação gestão ambiental _e_ territorial alternativas econômicas sustentáveis saúde _e_ saneamento segurança alimentar cultura _acesso_ a benefícios sociais _e_ infraestrutura para cada uma das terras indígenas da bacia do xingu as _informações_ solicitadas encontram _se_ detalhadas na planilha em anexo direcionadas especificamente à cgpc coordenação geral de promoção à cidadania aba 1 à cggam coordenação geral de gestão ambiental aba 2 à cgetno coordenação geral de etnodesenvolvimento aba 3 _e_ à dpds sem especificação aba 4 as despesas solicitadas relacionadas à elaboração _e_ atualização do plano_de_gestão territorial _e_ ambiental pgta referem _se_ aos _anos_ ou _períodos_ em que ocorreram os gastos especificar para podermos fazer o reajuste do valor as demais despesas referem _se_ aos _anos_ de 2013 2014 _e_ 2015 _caso_ a funai _não_ tenha participado de alguma das atividades especificadas por _favor_ colocar despesa r 0 0 além da funai as _informações_ sobre as despesas relacionadas às terras indígenas do xingu estão sendo coletadas junto a outros órgãos governamentais _e_ _não_ governamentais que atuam na região sesai associações locais ongs municípios entre outros atenciosamente,Temer_05,Q2: Private-Political
470,T471,à dpds diretoria de promoção ao desenvolvimento sustentável fundação nacional do índio funai prezado responsável o instituto socioambiental isa está conduzindo atualmente uma _pesquisa_ sobre os custos necessários para a criação consolidação _e_ manutenção das terras indígenas da bacia do xingu o objetivo deste trabalho é realizar uma estimativa dos valores reais gastos em cada uma destas etapas _e_ com base nestes valores realizar uma projeção dos investimentos médios necessários por ti dependendo de suas características específicas desta _forma_ venho solicitar à dpds funai _informações_ sobre as despesas com iniciativas relacionadas à educação gestão ambiental _e_ territorial alternativas econômicas sustentáveis saúde _e_ saneamento segurança alimentar cultura _acesso_ a benefícios sociais _e_ infraestrutura para cada uma das terras indígenas da bacia do xingu as _informações_ solicitadas encontram _se_ detalhadas na planilha em anexo direcionadas especificamente à cgpc coordenação geral de promoção à cidadania aba 1 à cggam coordenação geral de gestão ambiental aba 2 à cgetno coordenação geral de etnodesenvolvimento aba 3 _e_ à dpds sem especificação aba 4 as despesas solicitadas relacionadas à elaboração _e_ atualização do plano_de_gestão territorial _e_ ambiental pgta referem _se_ aos _anos_ ou _períodos_ em que ocorreram os gastos especificar para podermos fazer o reajuste do valor as demais despesas referem _se_ aos _anos_ de 2013 2014 _e_ 2015 _caso_ a funai _não_ tenha participado de alguma das atividades especificadas por _favor_ colocar despesa r 0 0 além da funai as _informações_ sobre as despesas relacionadas às terras indígenas do xingu estão sendo coletadas junto a outros órgãos governamentais _e_ _não_ governamentais que atuam na região sesai associações locais ongs municípios entre outros atenciosamente,Temer_05,Q2: Private-Political
471,T472,prezados senhores ministério do desenvolvimento agrário monte castelo _município_ catarinense localizado no planalto norte de santa_catarina com uma população 8 473 habitantes apresenta um idh 0 675 com colocação no ranking catarinense de 264 _e_ no ranking nacional 2 545 a economia do _município_ baseia _se_ principalmente na agricultura familiar sendo os principais produtos fumicultura avicultura frango grãos soja milho feijão bovinocultura de corte raças charoles _e_ nelore bovinocultura de leite raças holandesa _e_ jersey ovinocultura raças texel ile de france hampshire fruticultura maça castel gala caqui fuyu _e_ kyoto _e_ pêra piscicultura bagre tilápia _e_ carpa destacam _se_ ainda o beneficiamento de madeira _e_ a silvicultura na produção de mudas principalmente de pinos _e_ eucalipto bem como áreas de florestamento _e_ reflorestamento com os mesmos há também a extração _e_ beneficiamento de erva mate segundo _dados_ do ibge relacionados ao mapa de pobreza _e_ desigualdade dos municípios brasileiros a incidência de pobreza em monte castelo atinge 34 da população do _município_ neste contexto o _município_de_monte_ castelo acumula um passivo na infraestrutura_urbana muito grande que segue da mobilidade_urbana aos equipamentos_públicos de atendimento ao cidadão que influência em sua qualidade de vida _e_ bem estar o _município_ _não_ cumpriu integralmente as legislações federais na criação de seu palos diretor habitacional saneamento _e_ resíduos solidos solicitamos ao ministério do desenvolvimento agrário _informações_ sobre programas projetos _e_ financiamentos disponíveis para o _município_de_monte_ castelo _se_ habilitar dentro de seu perfil temos hoje no _município_ um grande _número_ proprietários de terras de baixo poder aquisitivo sem escrituração publica gostaríamos de ter _acesso_ as ações que o ministério do desenvolvimento agrário esta oferendo aos municípios brasileiros para cadastramento ficamos no aguardo de seu retorno,Temer_05,Q2: Private-Political
